address,phone,price,store,title,url
"Thornberry Court, Craven Park",020 8115 2176,"£349,950 ",Hart & Co - Harlesden,2 bedroom penthouse for sale,https://www.onthemarket.com/details/8270291/
"Halford Road, Fulham",020 8033 2436,"£850,000 ",Kinleigh Folkard & Hayward - Fulham and Chelsea Sales,2 bedroom flat for sale,https://www.onthemarket.com/details/10503855/
"Tournay Road, Fulham",020 8033 2436,"£875,000 ",Kinleigh Folkard & Hayward - Fulham and Chelsea Sales,2 bedroom flat for sale,https://www.onthemarket.com/details/10503853/
"Lee Road, Blackheath",020 8033 2482,"£400,000 ",Kinleigh Folkard & Hayward - Blackheath Sales,3 bedroom flat for sale,https://www.onthemarket.com/details/10503598/
"Queensville Road, Balham",020 8033 2489,"£950,000 ",Kinleigh Folkard & Hayward - Balham Sales,4 bedroom terraced house for sale,https://www.onthemarket.com/details/10503594/
"Mayford Road, Balham",020 8033 2489,"£475,000 ",Kinleigh Folkard & Hayward - Balham Sales,1 bedroom flat for sale,https://www.onthemarket.com/details/10503593/
"Elliott Close, Wembley",020 8022 6543,"£400,000 ",haart Estate Agents - Wembley,3 bedroom apartment for sale,https://www.onthemarket.com/details/10503560/
"Rokesly Avenue, London, N8",020 8022 7108,"£625,000 ",Prickett & Ellis - Crouch End,2 bedroom property for sale,https://www.onthemarket.com/details/10501473/
"Priory Road, London, N8",020 8022 7108,"£1,300,000 ",Prickett & Ellis - Crouch End,3 bedroom terraced house for sale,https://www.onthemarket.com/details/10501472/
"The Glen, Shirley",020 8022 6739,"£675,000 ",Allen Heritage - Shirley,4 bedroom semi-detached house for sale,https://www.onthemarket.com/details/10501267/
"Wells View Drive, Bromley",020 8033 2480,"£340,000 ",Kinleigh Folkard & Hayward - Bromley Sales,2 bedroom flat for sale,https://www.onthemarket.com/details/10500326/
"Colinette Road, Putney",020 8022 6822,"£975,000 ",Kinleigh Folkard & Hayward - West Putney,3 bedroom flat for sale,https://www.onthemarket.com/details/10500237/
"Stanley Road, Bromley",020 8033 2480,"£475,000 ",Kinleigh Folkard & Hayward - Bromley Sales,3 bedroom semi-detached house for sale,https://www.onthemarket.com/details/10500233/
"Tournay Road, Fulham, SW6",020 8022 6975,"£2,895,000 ",Knight Frank - Fulham,5 bedroom terraced house for sale,https://www.onthemarket.com/details/10500046/
"Lower Addison Gardens, London, W14",020 8022 7047,"£1,100,000 ",Knight Frank - Kensington,2 bedroom flat for sale,https://www.onthemarket.com/details/10500027/
"Wolseley Road, Crouch End",020 8022 7123,"£795,000 ",Kinleigh Folkard & Hayward - Crouch End Sales,3 bedroom flat for sale,https://www.onthemarket.com/details/10499975/
"The Woodpeckers, Patrons Way West, Denham Garden Village, Denham, UB9",01753 903958,"£510,000 ",The Frost Partnership - Gerrards Cross,3 bedroom bungalow for sale,https://www.onthemarket.com/details/10499900/
"Main Road, Biggin Hill",01959 458966,"£425,000 ",haart Estate Agents - Biggin Hill,2 bedroom semi-detached house for sale,https://www.onthemarket.com/details/10499759/
"Walden Road, Chislehurst",020 8022 7072,"£695,000 ",Kinleigh Folkard & Hayward - Chislehurst Sales,3 bedroom semi-detached house for sale,https://www.onthemarket.com/details/10499711/
"Park Road, Beckenham",020 8033 2485,"£650,000 ",Kinleigh Folkard & Hayward - Beckenham Sales,3 bedroom penthouse for sale,https://www.onthemarket.com/details/10499447/
"Water Gardens Square, Canada Water",020 8033 2479,"£700,000 ",Kinleigh Folkard & Hayward - Canada Water Sales,2 bedroom flat for sale,https://www.onthemarket.com/details/10499291/
"Bramley Hill, South Croydon, Surrey CR2",020 8115 1995,"£210,000 ",Jacksons Property Services - Croydon,Studio for sale,https://www.onthemarket.com/details/10499268/
"Rushdene, Abbey Wood SE2 9RP",01274 067740,"£385,000 ",EweMove Sales & Lettings - Bexleyheath,3 bedroom semi-detached bungalow for sale,https://www.onthemarket.com/details/10505771/
"Hailsham Avenue, Streatham Hill",020 8033 2445,"£550,000 ",Kinleigh Folkard & Hayward - Streatham Sales,3 bedroom maisonette for sale,https://www.onthemarket.com/details/10422206/
Heritage Close UB8,020 8033 4811,"£359,000 ",RS Property Management - Hounslow,2 bedroom end of terrace house for sale,https://www.onthemarket.com/details/8837261/
Mayplace Road East Bexleyheath DA7,020 8022 5383,"£185,000 ",Acorn - Bexleyheath,1 bedroom flat for sale,https://www.onthemarket.com/details/10139267/
"Plot E405, 2 Bedroom Apartment at Deptford Landings, Evelyn Street, Deptford SE8",020 3641 1629,"£506,500 ",L&Q - Deptford Landings,2 bedroom apartment for sale,https://www.onthemarket.com/details/10505874/
"Plot E405, 2 Bedroom Apartment at Deptford Landings, Evelyn Street, Deptford SE8",020 3641 1629,"£126,625 ",L&Q - Deptford Landings,2 bedroom apartment for sale,https://www.onthemarket.com/details/10505863/
"Ilkeston Court, 4 Overbury Street, London, E5",020 8033 7510,"£500,000 ",Stirling Ackroyd - Clapton,3 bedroom apartment for sale,https://www.onthemarket.com/details/10445892/
Baring Road Grove Park SE12,020 8022 6849,"£550,000 ",Acorn - Grove Park,5 bedroom bungalow for sale,https://www.onthemarket.com/details/8342010/
Blackheath Road London SE10,020 8022 6857,"£1,195,000 ",John Payne - Greenwich,4 bedroom terraced house for sale,https://www.onthemarket.com/details/10505835/
"Plot E305, 2 Bedroom Apartment at Deptford Landings, Evelyn Street, Deptford SE8",020 3641 1629,"£504,500 ",L&Q - Deptford Landings,2 bedroom apartment for sale,https://www.onthemarket.com/details/10505833/
"Horseman Side, Brentwood, Essex",01277 298678,"£950,000 ",Douglas Allen - Brentwood,4 bedroom detached house for sale,https://www.onthemarket.com/details/10124863/
"Woodfall Avenue, Barnet, EN5",020 8115 0753,"£600,000 ",Hunters Residential Sales and Lettings - Barnet,2 bedroom bungalow for sale,https://www.onthemarket.com/details/10505821/
"Daver Court, Mount Avenue , Ealing, London  W5",020 8022 6616,"£595,000 ",John Martin Estates - Ealing,3 bedroom apartment for sale,https://www.onthemarket.com/details/10265344/
"Plot E305, 2 Bedroom Apartment at Deptford Landings, Evelyn Street, Deptford SE8",020 3641 1629,"£126,125 ",L&Q - Deptford Landings,2 bedroom apartment for sale,https://www.onthemarket.com/details/10505814/
"City View Apartments, Woodberry Down, Finsbury Park, N4",020 3544 5717,"£399,000 ",Ernest-Brooks International - Marsh Wall,Studio for sale,https://www.onthemarket.com/details/10169916/
"Huguenot Drive, London",020 8022 6530,"£550,000 ",haart Estate Agents - Southgate,3 bedroom apartment for sale,https://www.onthemarket.com/details/10355067/
"High Road, Whetstone N20",020 3641 8453,"£325,000 ",Maunder Taylor - Whetstone,1 bedroom flat for sale,https://www.onthemarket.com/details/10505796/
"Lavender Hill, SW11",020 8022 7033,"£625,000 ",Douglas & Gordon - Battersea,2 bedroom flat for sale,https://www.onthemarket.com/details/10505790/
"Plot royal-warwick-square-1bed-portals-jun at Boulevard | Royal Warwick Square SO, Maclaren House, Kensington Row, 195 Warwick Road W14",020 8128 1364,"£198,750 ",Peabody - Boulevard | Royal Warwick Square SO,1 bedroom flat for sale,https://www.onthemarket.com/details/10505787/
"Odessa Street, London",020 8022 7134,"£350,000 ",Felicity J. Lord - Shad Thames,1 bedroom apartment for sale,https://www.onthemarket.com/details/9149462/
"5 Central Avenue, Fulham Riverside, London, SW6",020 8022 7422,"£1,300,000 ",Knight Frank - Battersea & Riverside,3 bedroom flat for sale,https://www.onthemarket.com/details/8744115/
"Caversham Road, London, NW5",020 8022 7202,"£1,000,000 ",Salter Rex - Kentish Town,2 bedroom maisonette for sale,https://www.onthemarket.com/details/9957099/
"Brighton Terrace, London, SW9",020 8022 7205,"£450,000 ",haart Estate Agents - Brixton,2 bedroom apartment for sale,https://www.onthemarket.com/details/10330423/
Sidcup High Street Sidcup DA14,020 8115 0429,"£315,000 ",Acorn - Sidcup,2 bedroom flat for sale,https://www.onthemarket.com/details/10197131/
"Hailsham Avenue, Streatham Hill",020 8033 2445,"£550,000 ",Kinleigh Folkard & Hayward - Streatham Sales,3 bedroom maisonette for sale,https://www.onthemarket.com/details/10422206/
"Streatham High Road, Streatham",020 8033 2445,"£425,000 ",Kinleigh Folkard & Hayward - Streatham Sales,2 bedroom flat for sale,https://www.onthemarket.com/details/10330708/
"Avonmore Road, London",020 8022 6886,"£2,650,000 ",Tates - West Kensington,6 bedroom house for sale,https://www.onthemarket.com/details/10421265/
"Ashford Road, Feltham, TW13",020 8022 6531,"£435,000 ",The Frost Partnership - Feltham,3 bedroom semi-detached house for sale,https://www.onthemarket.com/details/9764590/
"Holmwood Road, Cheam",020 3641 3396,"£975,000 ",Henley Homes Estate Agent - Sutton,4 bedroom detached house for sale,https://www.onthemarket.com/details/10502117/
"Briar Lane, Carshalton",020 3641 3396,"£895,000 ",Henley Homes Estate Agent - Sutton,4 bedroom detached house for sale,https://www.onthemarket.com/details/10502102/
"Golf Side, South Cheam",020 3641 3396,"£2,750,000 ",Henley Homes Estate Agent - Sutton,5 bedroom detached house for sale,https://www.onthemarket.com/details/10502104/
"Golf Side, South Cheam",020 3641 3396,"£4,250,000 ",Henley Homes Estate Agent - Sutton,7 bedroom detached house for sale,https://www.onthemarket.com/details/10502078/
"Rose Hill Park West, Sutton",020 3641 3396,"£635,000 ",Henley Homes Estate Agent - Sutton,3 bedroom semi-detached house for sale,https://www.onthemarket.com/details/10502112/
"Wisteria Mews, South Cheam, SM2",020 3641 3396,"£775,000 ",Henley Homes Estate Agent - Sutton,3 bedroom semi-detached house for sale,https://www.onthemarket.com/details/10502091/
Waratah Drive Chislehurst BR7,020 8022 7079,"£750,000 ",Langford Russell - Chislehurst,4 bedroom semi-detached house for sale,https://www.onthemarket.com/details/10505739/
"Lambert Court, Crow Lane, Romford, RM7",01708 573653,"£240,000 ",Hilbery Chaplin - Havering,1 bedroom house for sale,https://www.onthemarket.com/details/10420322/
"30a Ropery Street, E3 4QG",020 8115 1340,"£619,995 ",IC Property - Hertford,2 bedroom terraced house for sale,https://www.onthemarket.com/details/10505714/
"Boss House, Shad Thames, SE1",020 8022 7134,"£850,000 ",Felicity J. Lord - Shad Thames,2 bedroom apartment for sale,https://www.onthemarket.com/details/10315366/
"New Cross Road, New Cross, SE14",020 3641 8913,"£475,000 ",Winkworth - New Cross,4 bedroom ground floor flat for sale,https://www.onthemarket.com/details/10245005/
"Charnwood Road, London",020 8022 6770,"£430,000 ",haart Estate Agents - Thornton Heath,5 bedroom terraced house for sale,https://www.onthemarket.com/details/10150458/
"Carrara Tower, 250 City Road, London, EC1",020 8033 8668,"£1,250,000 ",Johns & Co - West Hampstead Square,2 bedroom apartment for sale,https://www.onthemarket.com/details/9910822/
"Dallington Street, London, EC1V",020 8022 7427,"£1,250,000 ",Knight Frank - Islington,2 bedroom flat for sale,https://www.onthemarket.com/details/9720997/
"Caversham Road, Kentish Town, London, NW5",020 8022 7286,"£500,000 ",Keatons - Kentish Town,1 bedroom flat for sale,https://www.onthemarket.com/details/8334311/
"Hamilton Terrace, St John's Wood, London, NW8",020 8022 7376,"£17,500,000 ",Knight Frank - St John's Wood,6 bedroom detached house for sale,https://www.onthemarket.com/details/3815729/
"Hetherington Road, Clapham",020 8115 0659,"£995,000 ",Champions - Kensington,3 bedroom property for sale,https://www.onthemarket.com/details/10255449/
"Landmark East Tower, Marsh Wall",020 8022 7339,"£780,000 ",Chestertons - Canary Wharf,2 bedroom flat for sale,https://www.onthemarket.com/details/10324925/
Elliotts Row London SE11,020 8022 7011,"£350,000 ",Acorn - Kennington,1 bedroom flat for sale,https://www.onthemarket.com/details/10052807/
"Canonbury Road, Canonbury",020 8022 7245,"£2,000,000 ",Chestertons - Islington,4 bedroom terraced house for sale,https://www.onthemarket.com/details/10505659/
"Whitchurch Gardens, Edgware, Greater London. HA8 6PF",020 8022 6623,"£795,000 ",Melvin Jacobs - Edgware,5 bedroom semi-detached house for sale,https://www.onthemarket.com/details/10505657/
"Munster Road, London",020 8022 7309,"£3,350,000 ",Chestertons - Fulham Munster Road,6 bedroom terraced house for sale,https://www.onthemarket.com/details/10505656/
"Gloucester Avenue, London, NW1",020 8115 6398,"£750,000 ",Park Lord - London,1 bedroom apartment for sale,https://www.onthemarket.com/details/10425490/
"Abercorn Place, St John's Wood, London",020 8022 7385,"£475,000 ",Chestertons - St Johns Wood,1 bedroom flat for sale,https://www.onthemarket.com/details/8727935/
"Norbiton Hall, London Road, Kingston Upon Thames, KT2",020 8022 6702,"£379,950 ",Curchods - Kingston,2 bedroom flat for sale,https://www.onthemarket.com/details/10505653/
"Royal Belgrave House, Hugh Street, London",020 8022 7380,"£675,000 ",Chestertons - Westminster,1 bedroom flat for sale,https://www.onthemarket.com/details/10505651/
"Courtlands, Sheen Road, Richmond, Surrey, TW10",020 8022 6560,"£595,000 ",Antony Roberts - Richmond,2 bedroom apartment for sale,https://www.onthemarket.com/details/10025201/
"Broomsleigh Street, West Hampstead",020 8033 2439,"£1,575,000 ",Kinleigh Folkard & Hayward - West Hampstead Sales,4 bedroom terraced house for sale,https://www.onthemarket.com/details/10505647/
"Abercorn Place, St John's Wood",020 8033 2447,"£475,000 ",Kinleigh Folkard & Hayward - St John's Wood Sales,1 bedroom flat for sale,https://www.onthemarket.com/details/9327394/
"Perth Close, London, SW20",020 3641 5942,"£365,000 ",White & Hayward - New Malden,1 bedroom apartment for sale,https://www.onthemarket.com/details/10505635/
"Summerhill Road, London, N15",020 8261 7570,"£850,000 ",Hunters - Tottenham,3 bedroom semi-detached house for sale,https://www.onthemarket.com/details/9532250/
"Rosendale Road, West Dulwich, SE21",020 8115 3032,"£575,000 ",Beresford Residential - West Norwood,2 bedroom flat for sale,https://www.onthemarket.com/details/10505626/
"Oakland Quay, E14",020 8022 7052,"£1,400,000 ",Felicity J. Lord - Canary Wharf,3 bedroom apartment for sale,https://www.onthemarket.com/details/9404540/
"Cheesemans Terrace, West Kensington, London, W14",020 8022 7268,"£375,000 ",Lawson Rutter - West Kensington,1 bedroom apartment for sale,https://www.onthemarket.com/details/10505606/
"Piazza Walk, London, E1",020 8033 2040,"£950,000 ",Vantage Properties & Management - Battersea,1 bedroom apartment for sale,https://www.onthemarket.com/details/6994228/
"Chepstow Villas, London. W11",020 8033 1559,"£21,500,000 ",London House - Marylebone,7 bedroom house for sale,https://www.onthemarket.com/details/10505592/
"Portland Mansions, Portland Road, London, SE25",020 3641 8886,"£250,000 ",JBrown - International,3 bedroom flat for sale,https://www.onthemarket.com/details/10505590/
"Camberwell New Road, Oval, London",020 8115 0621,"£324,995 ",Global House Estates - Elephant & Castle,1 bedroom flat for sale,https://www.onthemarket.com/details/9235927/
"Brigstock Road, Thornton Heath",020 8022 6770,"£200,000 ",haart Estate Agents - Thornton Heath,1 bedroom flat for sale,https://www.onthemarket.com/details/10402240/
"Ashville Road, Leytonstone, E11",020 8115 2979,"£675,000 ",Allen Davies - Leyton,4 bedroom terraced house for sale,https://www.onthemarket.com/details/10293449/
"Querrin Street, Fulham, SW6",020 8022 6975,"£1,450,000 ",Knight Frank - Fulham,4 bedroom terraced house for sale,https://www.onthemarket.com/details/10409369/
"Clarence Avenue, Gants Hill",020 8022 6688,"£300,000 ",haart Estate Agents - Ilford,1 bedroom apartment for sale,https://www.onthemarket.com/details/10505286/
"Upminster Road, Hornchurch, RM11",01708 954881,"£550,000 ",Balgores - Hornchurch,5 bedroom semi-detached house for sale,https://www.onthemarket.com/details/10505107/
"Highworth Road, London, N11",020 8033 5824,"£625,000 ",Ellis & Co  - Bounds Green,2 bedroom terraced house for sale,https://www.onthemarket.com/details/10505105/
"Ferndale Road, Clapham, SW4",020 8022 6900,"£425,000 ",Sheraton Law - Clapham,1 bedroom apartment for sale,https://www.onthemarket.com/details/10360549/
"De Beauvoir Place, 1-3 Tottenham Road, London, N1",020 8033 7488,"£200,000 ",Stirling Ackroyd - Dalston,1 bedroom apartment for sale,https://www.onthemarket.com/details/6098974/
"Lower Addison Gardens, London, W14",020 8022 7047,"£1,100,000 ",Knight Frank - Kensington,2 bedroom flat for sale,https://www.onthemarket.com/details/10500027/
"Crescent Road, Warley, Brentwood, Essex, CM14",01277 298745,"£390,000 ",Beresfords - Brentwood,2 bedroom cottage for sale,https://www.onthemarket.com/details/10344264/
"Plot E205, 2 Bedroom Apartment at Deptford Landings, Evelyn Street, Deptford SE8",020 3641 1629,"£502,500 ",L&Q - Deptford Landings,2 bedroom apartment for sale,https://www.onthemarket.com/details/10504724/
"Walnut Tree Road, Brentford",020 8033 5508,"£399,950 ",Brackenbury Estates - Hammersmith,2 bedroom maisonette for sale,https://www.onthemarket.com/details/10504723/
"Village Way, London",020 8022 3282,"£675,000 ",Gordon Lindsay Associates - Chiswick,5 bedroom terraced house for sale,https://www.onthemarket.com/details/10504685/
"Harrow Road, London, NW10",020 8022 6985,"£450,000 ",Winkworth - North Kensington,2 bedroom apartment for sale,https://www.onthemarket.com/details/10504612/
"Salisbury Road, Richmond, TW9",020 8022 6560,"£1,325,000 ",Antony Roberts - Richmond,4 bedroom terraced house for sale,https://www.onthemarket.com/details/10504606/
"Plot E205, 2 Bedroom Apartment at Deptford Landings, Evelyn Street, Deptford SE8",020 3641 1629,"£125,625 ",L&Q - Deptford Landings,2 bedroom apartment for sale,https://www.onthemarket.com/details/10504586/
Wellington Street Woolwich SE18,020 8033 3061,"£425,000 ",John Payne - Woolwich,2 bedroom flat for sale,https://www.onthemarket.com/details/10162885/
"Ark, Court, Alkham Road, N16",020 8022 7029,"£500,000 ",Felicity J. Lord - Stoke Newington,2 bedroom flat for sale,https://www.onthemarket.com/details/9895654/
Wellington Street Woolwich SE18,020 8033 3061,"£325,000 ",John Payne - Woolwich,1 bedroom flat for sale,https://www.onthemarket.com/details/10162887/
"Churchill Road, South Croydon",020 8022 6763,"£270,000 ",haart Estate Agents - Croydon,1 bedroom flat for sale,https://www.onthemarket.com/details/10504575/
"Antrim Road, NW3, Belsize Park, NW3",020 3641 1042,"£875,000 ",Naylius McKenzie - Belsize Park,2 bedroom flat for sale,https://www.onthemarket.com/details/10498393/
"Eton College Road NW3, Chalk Farm, NW3",020 3641 1042,"£450,000 ",Naylius McKenzie - Belsize Park,1 bedroom flat for sale,https://www.onthemarket.com/details/10498383/
"Commonside West, CR4",020 8166 7315,"£495,000 ",Douglas & Gordon - Streatham,2 bedroom flat for sale,https://www.onthemarket.com/details/9202424/
"Queensborough Court, North Circular Road, London, N3",020 8022 7063,"£495,000 ",Goldschmidt & Howland - Temple Fortune,3 bedroom house for sale,https://www.onthemarket.com/details/10504557/
"Leander Road, Brixton",020 8022 6758,"£850,000 ",Kinleigh Folkard & Hayward - Clapham Sales,4 bedroom end of terrace house for sale,https://www.onthemarket.com/details/10391484/
"Eastfields Avenue, Wandsworth",020 8033 2452,"£1,275,000 ",Kinleigh Folkard & Hayward - Putney Sales,3 bedroom flat for sale,https://www.onthemarket.com/details/10332095/
"Victoria Drive, Southfields",020 8033 2449,"£425,000 ",Kinleigh Folkard & Hayward - Southfields Sales,2 bedroom flat for sale,https://www.onthemarket.com/details/10177003/
"Dundee Wharf, 100 Three Colt Street, London, E14",020 8115 3266,"£625,000 ",Stirling Ackroyd - Canary Wharf,2 bedroom apartment for sale,https://www.onthemarket.com/details/10504548/
Old Hill Chislehurst BR7,020 8022 7079,"£995,000 ",Langford Russell - Chislehurst,3 bedroom semi-detached house for sale,https://www.onthemarket.com/details/10504543/
"Harts Lane, Barking, IG11",020 8115 2242,"£200,000 ",Balgores - Dagenham,3 bedroom apartment for sale,https://www.onthemarket.com/details/10258898/
"Holly Mount, London NW3",020 8022 6994,"£1,795,000 ",Amberden Estates - Hampstead,3 bedroom cottage for sale,https://www.onthemarket.com/details/10504539/
"Tallow Close, Dagenham, RM9",020 8115 2242,"£250,000 ",Balgores - Dagenham,2 bedroom apartment for sale,https://www.onthemarket.com/details/10402322/
"Boundary Road, St Johns Wood, NW8",020 8022 6898,"£775,000 ",Greenstone Estates - St Johns Wood,2 bedroom apartment for sale,https://www.onthemarket.com/details/10473769/
"Parkway Apartments, London N4",020 8022 7023,"£650,000 ",JLL - Finsbury Park,3 bedroom apartment for sale,https://www.onthemarket.com/details/10504540/
"Summerston House, Royal Wharf, London, E16",020 8115 9213,"£518,000 ",Johns & Co - Royal Wharf,2 bedroom apartment for sale,https://www.onthemarket.com/details/10029939/
Thunderer Walk London SE18,020 8033 3061,"£375,000 ",John Payne - Woolwich,1 bedroom flat for sale,https://www.onthemarket.com/details/9530298/
"Honey Close, Dagenham, RM10",020 8115 2242,"£180,000 ",Balgores - Dagenham,1 bedroom apartment for sale,https://www.onthemarket.com/details/8875452/
"Cockfosters,  Hertfordshire,  EN4",020 3544 1638,"£460,000 ",Chancellors - Barnet Sales,2 bedroom flat for sale,https://www.onthemarket.com/details/10243615/
"Plimsoll Building,, 1, Handyside Street, London, N1C",020 3641 6040,"£1,000,000 ",Keller Williams - London,2 bedroom apartment for sale,https://www.onthemarket.com/details/9488096/
"Monohaus, Sidworth Street, London Fields, E8",020 8115 0381,"£800,000 ",LOCATION LOCATION - Stoke Newington,2 bedroom flat for sale,https://www.onthemarket.com/details/9707019/
"Caldecote Gardens, Bushey, Hertfordshire, WD23",020 8022 7056,"£715,000 ",Imagine - Bushey,3 bedroom detached bungalow for sale,https://www.onthemarket.com/details/10203239/
"High Road, East Finchley, N2",020 8022 0195,"£525,000 ",Lane Residential - Hendon,2 bedroom flat for sale,https://www.onthemarket.com/details/10504474/
"Warwick Garden, Kensinghton and Chelsea, London, W14",020 3641 3423,"£2,200,000 ",Tempocasa - Notting Hill,3 bedroom apartment for sale,https://www.onthemarket.com/details/10504450/
"Elvaston Mews, London, SW7",020 3641 6194,"£5,500,000 ",Knight Frank - South Kensington Sales,3 bedroom terraced house for sale,https://www.onthemarket.com/details/10504448/
"High Road, East Finchley, N2",020 8022 0195,"£515,000 ",Lane Residential - Hendon,2 bedroom duplex for sale,https://www.onthemarket.com/details/10504446/
"High Road, East Finchley, N2",020 8022 0195,"£550,000 ",Lane Residential - Hendon,2 bedroom flat for sale,https://www.onthemarket.com/details/10504445/
"Revelon Road, Brockley",020 8033 2481,"£735,000 ",Kinleigh Folkard & Hayward - Brockley Sales,3 bedroom terraced house for sale,https://www.onthemarket.com/details/10216842/
"Peckham Hill Street, Peckham, SE15",020 3641 6262,"£390,000 ",Beresford Residential - Camberwell,2 bedroom flat for sale,https://www.onthemarket.com/details/10504414/
"Alexandra Road, London, NW4",020 8033 2340,"£1,075,000 ",JT Homes - Hendon,5 bedroom semi-detached house for sale,https://www.onthemarket.com/details/10504382/
Trafalgar Grove SE10,020 8115 1544,"£975,000 ",home2u - Lewisham,4 bedroom end of terrace house for sale,https://www.onthemarket.com/details/10058713/
"Ruscombe Way, Feltham, TW14",020 8022 6531,"£450,000 ",The Frost Partnership - Feltham,4 bedroom semi-detached house for sale,https://www.onthemarket.com/details/10284670/
"Bell Street, London, NW1",020 3641 1987,"£775,000 ",Alvi Real Estate - London,2 bedroom penthouse for sale,https://www.onthemarket.com/details/10504331/
Seven kings  IG1 4BL,020 8022 6434,"£305,000 ",Lint Group - Stratford,2 bedroom detached house for sale,https://www.onthemarket.com/details/10504322/
Kensington High Street London W14,020 8022 6255,"£625,000 ",JLL - Kensington,1 bedroom flat for sale,https://www.onthemarket.com/details/10504319/
"Somerford Street, London, E1",020 8115 1320,"£465,000 ",Stirling Ackroyd - Shoreditch,2 bedroom apartment for sale,https://www.onthemarket.com/details/10504317/
"Tredegar Road, Bounds Green N11",020 8022 1196,"£299,950 ",Talbies - Whetstone,1 bedroom flat for sale,https://www.onthemarket.com/details/7856141/
